start_station_id,start_station_name,end_station_id,end_station_name,bike_id,user_type,member_gender,bike_share,distance,start_weekday,duration_minutes,user_age
43,San Francisco Public Library (Grove St at Hyde St),74,Laguna St at Hayes St,293,Subscriber,Male,No,0.94,Monday,7,55
126,Esprit Park,50,2nd St at Townsend St,4617,Customer,Male,No,2.1,Saturday,12,23
77,11th St at Natoma St,17,Embarcadero BART Station (Beale St at Market St),4831,Subscriber,Female,No,2.67,Monday,15,28
120,Mission Dolores Park,147,29th St at Tiffany Ave,5404,Subscriber,Male,No,1.98,Sunday,8,44
196,Grand Ave at Perkins St,182,19th Street BART Station,1734,Customer,Male,No,1.04,Tuesday,5,33
21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5565,Customer,Male,No,1.52,Saturday,9,28
28,The Embarcadero at Bryant St,90,Townsend St at 7th St,293,Subscriber,Male,No,2.2,Friday,11,37
233,4th Ave at E 12th St (Temporary Location),163,Lake Merritt BART Station,4542,Subscriber,Female,No,0.87,Tuesday,4,24
286,San Carlos St at 11th St,316,San Salvador St at 1st St,71,Subscriber,Female,No,1.07,Sunday,9,62
21,Montgomery St BART Station (Market St at 2nd St),6,The Embarcadero at Sansome St,6332,Subscriber,Male,No,1.7,Thursday,6,44
243,Bancroft Way at College Ave,253,Haste St at College Ave,4855,Subscriber,Other,Yes,0.33,Monday,2,22
126,Esprit Park,14,Clay St at Battery St,3658,Customer,Male,No,3.8,Wednesday,25,35
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,4567,Subscriber,Other,No,2.7,Thursday,14,34
27,Beale St at Harrison St,17,Embarcadero BART Station (Beale St at Market St),5233,Subscriber,Male,No,0.65,Monday,3,35
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,4795,Subscriber,Female,No,1.39,Friday,8,23
363,Salesforce Transit Center (Natoma St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),4928,Subscriber,Male,No,1.24,Tuesday,6,40
112,Harrison St at 17th St,106,Sanchez St at 17th St,5901,Subscriber,Male,Yes,1.55,Monday,9,37
223,16th St Mission BART Station 2,356,Valencia St at Clinton Park,5136,Subscriber,Female,No,0.53,Wednesday,4,34
362,Lane St at Revere Ave,363,Salesforce Transit Center (Natoma St at 2nd St),4947,Subscriber,Male,No,6.24,Tuesday,24,35
175,49th St at Telegraph Ave,273,Fulton St at Ashby Ave,5435,Subscriber,Male,No,2.19,Sunday,10,40
371,Lombard St at Columbus Ave,14,Clay St at Battery St,6326,Subscriber,Male,No,1.47,Sunday,5,25
146,30th St at San Jose Ave,6,The Embarcadero at Sansome St,5417,Subscriber,Male,No,7.16,Friday,31,32
28,The Embarcadero at Bryant St,66,3rd St at Townsend St,5304,Subscriber,Male,No,1.02,Sunday,4,30
190,West St at 40th St,181,Grand Ave at Webster St,927,Subscriber,Male,No,2.16,Wednesday,14,29
43,San Francisco Public Library (Grove St at Hyde St),75,Market St at Franklin St,157,Subscriber,Male,No,0.72,Thursday,6,41
365,Turk St at Fillmore St,10,Washington St at Kearny St,5358,Subscriber,Male,No,2.91,Thursday,11,29
92,Mission Bay Kids Park,25,Howard St at 2nd St,5825,Customer,Male,No,1.74,Monday,8,42
50,2nd St at Townsend St,30,San Francisco Caltrain (Townsend St at 4th St),1699,Subscriber,Male,No,0.62,Friday,2,54
5,Powell St BART Station (Market St at 5th St),383,Golden Gate Ave at Franklin St,4836,Subscriber,Female,Yes,1.23,Sunday,55,26
25,Howard St at 2nd St,30,San Francisco Caltrain (Townsend St at 4th St),5340,Subscriber,Male,No,1.23,Monday,11,49
